 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2   Order   RMSE1     E.TIME1     E.TIME2
       0     175.449     175.449      8.77484      8.77484       0 32.5159     35.7524     35.7524
       1     175.449     175.449      8.88047      8.88047       1 32.5492      40.521      40.521
       2     175.449     175.449      9.20304      9.20304       2 32.5051     43.2146     43.2146
       3     175.449     175.449      9.35619      9.35619       3   32.51     44.3681     44.3681
       4     175.449     175.449      9.55806      9.55806       4 32.4877     44.9379     44.9379
       5     171.404     171.404      9.82295      9.82295       5  32.513     45.3988     45.3988
       6     175.449     175.449      9.90075      9.90075       6  32.532     46.3022     46.3022
       7     171.468     171.468      10.0329      10.0329       7 32.5611      47.049      47.049
       8     171.468     171.468      10.0986      10.0986       8 32.5781     46.5663     46.5663
       9     171.468     171.468      10.1797      10.1797       9 32.5732     49.6903     49.6903
      10     173.726     173.726      10.2685      10.2685      10  32.587      48.789      48.789
      11     173.726     173.726      10.3148      10.3148      11 32.5874     49.5109     49.5109
      12     173.726     173.726      10.4067      10.4067      12 32.5945     50.8265     50.8265
      13     173.726     173.726      10.5291      10.5291      13 32.6448     49.2969     49.2969
      14     173.726     173.726      10.6078      10.6078      14  32.624     46.5155     46.5155
      15     173.726     173.726      10.6771      10.6771      15 32.6302      48.285      48.285
      16     173.726     173.726      10.7309      10.7309      16 32.6272     48.9589     48.9589
      17     173.726     173.726       10.797       10.797      17 32.6245     48.6374     48.6374
      18     173.726     173.726      10.9358      10.9358      18 32.6207     50.0456     50.0456
      19     173.726     173.726      11.0154      11.0154      19 32.6456     49.2834     49.2834
      20     167.229     167.229      11.0484      11.0484      20 32.6405       48.16       48.16
