 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0           0           0         -nan         -nan       0       0  2.7175e-05  1.4943e-05
       1           0           0         -nan         -nan       0       0  1.2964e-05  1.8617e-05
       2           0           0         -nan         -nan       0       0   1.115e-05  1.2441e-05
       3           0           0         -nan         -nan       0       0  1.0472e-05  1.3467e-05
       4           0           0         -nan         -nan       0       0  1.2504e-05  1.2609e-05
       5           0           0         -nan         -nan       0       0  1.6535e-05  1.2928e-05
       6           0           0         -nan         -nan       0       0  1.2348e-05  1.3091e-05
       7           0           0         -nan         -nan       0       0  1.3339e-05  1.3226e-05
       8           0           0         -nan         -nan       0       0  1.1841e-05  1.3345e-05
       9           0           0         -nan         -nan       0       0  1.2592e-05  1.2519e-05
      10           0           0         -nan         -nan       0       0  1.3029e-05  1.2846e-05
      11           0           0         -nan         -nan       0       0  1.1165e-05  1.3515e-05
      12           0           0         -nan         -nan       0       0  1.2068e-05  1.3994e-05
      13           0           0         -nan         -nan       0       0  1.5017e-05  1.2926e-05
      14           0           0         -nan         -nan       0       0  1.1352e-05  1.3071e-05
      15           0           0         -nan         -nan       0       0  1.2408e-05  1.2631e-05
      16           0           0         -nan         -nan       0       0  1.2228e-05  1.3327e-05
      17           0           0         -nan         -nan       0       0  1.3683e-05  1.4735e-05
      18           0           0         -nan         -nan       0       0  1.1026e-05  1.2116e-05
      19           0           0         -nan         -nan       0       0  1.2584e-05  1.2593e-05
      20           0           0         -nan         -nan       0       0  1.2041e-05   1.269e-05
