 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0     14.1969     14.1969      6.17045      6.17045       0       0  0.00200911  0.00250044
       1     14.1969     14.1969      6.17045      6.17045       0       0  0.00198738  0.00200365
       2     14.1969     14.1969      6.17045      6.17045       0       0  0.00228205  0.00203071
       3     14.1969     14.1969      6.17045      6.17045       0       0  0.00197266  0.00200912
       4     14.1969     14.1969      6.17045      6.17045       0       0  0.00234098  0.00218358
       5     14.1969     14.1969      6.17045      6.17045       0       0  0.00202024  0.00199137
       6     14.1969     14.1969      6.17045      6.17045       0       0  0.00206283  0.00198094
       7     14.1969     14.1969      6.17045      6.17045       0       0  0.00224111  0.00200172
       8     14.1969     14.1969      6.17045      6.17045       0       0  0.00202469  0.00199267
       9     14.1969     14.1969      6.17045      6.17045       0       0  0.00204829  0.00224612
      10     14.1969     14.1969      6.17045      6.17045       0       0  0.00197896  0.00196273
