 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0     6.21124     6.21124  3.25656e+06  3.25656e+06       0       0     17.3984     16.8656
       1     6.21124     6.21124  3.25656e+06  3.25656e+06       0       0      17.385     17.0054
       2     6.21124     6.21124  3.25656e+06  3.25656e+06       0       0      16.744      17.312
       3     6.21124     6.21124  3.25652e+06  3.25652e+06       3       3     17.1627     75.1148
       4     6.21124     6.21124  3.25652e+06  3.25652e+06       3       3     18.1193     77.5716
       5     6.21124     6.21124  3.25652e+06  3.25652e+06       3       3      17.942     76.8824
       6     6.21124     6.21124  3.25652e+06  3.25652e+06       3       3     16.7787     77.4707
       7     6.21124     6.21124  3.25641e+06  3.25641e+06       7       7     16.8695     33.6387
       8     6.21124     6.21124  3.25583e+06  3.25583e+06       8       8     17.8499     34.6626
       9     6.21124     6.21124  3.25546e+06  3.25542e+06       9       9     16.9164     55.0236
      10     6.21124     6.21124   3.2552e+06  3.25516e+06      10      10      17.212     54.2779
