 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2   RMSE1   RMSE2     E.TIME1     E.TIME2
       0     175.449     175.449      8.77484      8.77484      32 32.5169     61.0643     61.0643
       1     175.449     175.449      8.84285      8.84285      32 32.5221     69.1271     69.1271
       2     175.449     175.449      9.18453      9.18453      32  32.496     72.9051     72.9051
       3     175.449     175.449      9.53874      9.53874      32 32.5134     75.5885     75.5885
       4     175.449     175.449      9.82489      9.82489      32 32.4915     77.1569     77.1569
       5     170.308     170.308      9.96691      9.96691      32 32.5449      77.476      77.476
       6      169.29      169.29       10.083       10.083      32 32.5462     77.9071     77.9071
       7      169.29      169.29      10.0668      10.0668      32 32.5248     70.0333     70.0333
       8      169.29      169.29      10.1398      10.1398      32 32.5485     53.9243     53.9243
       9      169.29      169.29      10.2155      10.2155      32 32.5228     55.2274     55.2274
      10      169.29      169.29      10.2741      10.2741      32  32.514     53.4848     53.4848
      11      169.29      169.29      10.3179      10.3179      32 32.5436     55.6363     55.6363
      12      169.29      169.29      10.3089      10.3089      32 32.5744     54.0924     54.0924
      13      169.29      169.29      10.4476      10.4476      32  32.602     52.2963     52.2963
      14      169.29      169.29      10.4936      10.4936      32 32.6302     52.3892     52.3892
      15      169.29      169.29      10.5618      10.5618      32 32.6018     53.7522     53.7522
      16      169.29      169.29      10.5774      10.5774      32 32.5844     56.0851     56.0851
      17      169.29      169.29      10.6306      10.6306      32 32.5806     52.2144     52.2144
      18      169.29      169.29      10.6878      10.6878      32  32.597     52.0204     52.0204
      19      169.29      169.29      10.7748      10.7748      32 32.5998     52.0321     52.0321
      20      169.29      169.29      10.8254      10.8254      32 32.6022     53.8512     53.8512
