 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1    RMSE     E.TIME1     E.TIME2	FLIPS
       0     179.718     179.718      973.575      973.575       0 20.7355      3.1847      3.1847	0
       1     179.718     179.718      965.115      965.115       1 20.7356     3.26291     3.26291	51
       2     179.718     179.718      1025.95      1025.95       2 20.7356     3.27522     3.27522	93
       3     179.718     179.718      1055.32      1055.32       3 20.7416     3.33617     3.33617	111
       4     174.338     174.338      1052.83      1052.83       4 20.7417     3.34147     3.34147	122
       5     174.338     174.338      1051.83      1051.83       5 20.7409     3.33052     3.33052	126
       6     174.338     174.338      1063.38      1063.38       6 20.7409     3.32539     3.32539	127
       7     174.338     174.338      1137.76      1137.76       7 20.7409     3.32202     3.32202	134
       8     174.338     174.338       1138.7       1138.7       8 20.7409     3.32883     3.32883	138
       9     174.338     174.338      1175.51      1175.51       9 20.7354     3.32388     3.32388	141
      10     174.338     174.338      1191.76      1191.76      10 20.7354     3.35384     3.35384	144
      11     174.338     174.338      1174.46      1174.46      11 20.7354     3.35953     3.35953	145
      12     174.338     174.338      1174.35      1174.35      12 20.7354     3.35862     3.35862	144
      13     174.338     174.338      1179.91      1179.91      13 20.7354      3.3343      3.3343	145
      14     174.338     174.338      1187.64      1187.64      14 20.7354     3.33497     3.33497	149
      15     174.338     174.338       1202.1       1202.1      15 20.7354     3.32913     3.32913	151
      16     174.338     174.338      1240.76      1240.76      16 20.7354     3.33235     3.33235	153
      17     174.338     174.338      1240.76      1240.76      16 20.7354     3.33242     3.33242	153
      18     174.338     174.338      1246.49      1246.49      18 20.7354     3.35013     3.35013	155
      19     174.338     174.338      1250.91      1250.91      19 20.7354     3.34119     3.34119	161
      20     174.338     174.338      1265.76      1265.76      20 20.7354     3.34047     3.34047	161
