 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1    RMSE     E.TIME1     E.TIME2	FLIPS
       0     43.8918     43.8918      973.575      973.575       0 20.7355     3.18093     3.18093	0
       1     41.1837     41.1837      959.059      959.059       1 20.7355     3.23829     3.23829	50
       2     41.1837     41.1837      1117.71      1117.71       2 20.7354     3.27508     3.27508	97
       3      39.662      39.662       1186.4       1186.4       3 20.7338     3.30307     3.30307	122
       4      39.662      39.662       1218.1       1218.1       4 20.7131     3.30798     3.30798	145
       5      39.662      39.662      1257.22      1257.22       5 20.7122     3.32549     3.32549	154
       6      39.662      39.662      1304.89      1304.89       6 20.7332     3.35133     3.35133	169
       7      39.662      39.662      1354.74      1354.74       7 20.7382     3.34584     3.34584	176
       8      39.662      39.662      1388.32      1388.32       8 20.7382     3.34097     3.34097	189
       9     39.0043     39.0043      1440.16      1440.16       9  20.738     3.34845     3.34845	196
      10     39.0043     39.0043      1409.11      1409.11      10 20.7376     3.35518     3.35518	197
      11      39.662      39.662      1393.91      1393.91      11 20.7377     3.37319     3.37319	196
      12     33.8079     33.8079      1410.93      1410.93      12 20.7377     3.37481     3.37481	198
      13     33.8079     33.8079      1406.98      1406.98      13 20.7382     3.39483     3.39483	198
      14     33.8079     33.8079      1452.36      1452.36      14 20.7382     3.36207     3.36207	202
      15     33.8079     33.8079      1465.83      1465.83      15 20.7382      3.3911      3.3911	201
      16     33.8079     33.8079      1439.65      1439.65      16 20.7397     3.37514     3.37514	195
      17     33.8079     33.8079      1439.65      1439.65      16 20.7397     3.44045     3.44045	195
      18     33.8079     33.8079      1437.06      1437.06      18 20.7371     3.32384     3.32384	198
      19     33.8079     33.8079      1843.39      1843.39      19 20.7371     3.32723     3.32723	201
      20     33.8079     33.8079      1857.34      1857.34      20 20.7371     3.34352     3.34352	201
