 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2   RMSE1   RMSE2     E.TIME1     E.TIME2
       0     15681.8     15681.8      8.77484      8.77484      32 32.5169     43.1468     43.1468
       1     14816.4     14816.4      8.71581      8.71581      32  32.519     48.3505     48.3505
       2     15259.5     15259.5      8.79719      8.79719      32  32.511     50.9272     50.9272
       3     14290.1     14290.1      8.90408      8.90408      32 32.5156     52.5654     52.5654
       4     14290.1     14290.1      9.04536      9.04536      32 32.5045      51.774      51.774
       5     14151.3     14151.3      9.11233      9.11233      32 32.5664     52.7379     52.7379
       6       14113       14113      9.26288      9.26288      32 32.5552     49.7935     49.7935
       7       14113       14113       9.2947       9.2947      32 32.5443     53.0346     53.0346
       8       14113       14113      9.35432      9.35432      32  32.533     50.9952     50.9952
       9       14113       14113      9.48722      9.48722      32 32.5379      50.383      50.383
      10       14113       14113      9.50585      9.50585      32  32.547     50.6745     50.6745
      11       14113       14113      9.54241      9.54241      32 32.5395     51.2706     51.2706
      12       14113       14113      9.62289      9.62289      32 32.5627      53.694      53.694
      13       14113       14113      9.65636      9.65636      32 32.5673     54.6111     54.6111
      14     14126.6     14126.6      9.69372      9.69372      32 32.5649     54.7061     54.7061
      15     14126.6     14126.6      9.73233      9.73233      32 32.5661     54.6331     54.6331
      16     14126.6     14126.6      9.81119      9.81119      32 32.5586     50.7715     50.7715
      17     14126.6     14126.6      9.88441      9.88441      32 32.5577     50.7314     50.7314
      18     14126.6     14126.6      9.94653      9.94653      32 32.5578     54.7003     54.7003
      19     14126.6     14126.6      9.96533      9.96533      32 32.5499     51.4713     51.4713
      20     14126.6     14126.6      10.0079      10.0079      32 32.5469     50.7712     50.7712
