 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0     14.1969     14.1969      3.46013      3.46013       0       0 0.000603917 0.000421452
       1     14.1969     14.1969      3.46013      3.46013       0       0 0.000407816 0.000392816
       2     14.1969     14.1969      3.46013      3.46013       0       0 0.000419317 0.000396292
       3     14.1969     14.1969      3.46013      3.46013       0       0 0.000393721 0.000434799
       4     14.1969     14.1969      3.46013      3.46013       0       0 0.000450506 0.000390763
       5     14.1969     14.1969      3.46013      3.46013       0       0   0.0003885 0.000409793
       6     14.1969     14.1969      3.46013      3.46013       0       0 0.000399398 0.000418535
       7     14.1969     14.1969      3.46013      3.46013       0       0 0.000413786 0.000413301
       8     14.1969     14.1969      3.46013      3.46013       0       0 0.000390237 0.000396352
       9     14.1969     14.1969      3.46013      3.46013       0       0 0.000399604  0.00041326
      10     14.1969     14.1969      3.46013      3.46013       0       0 0.000387981 0.000418415
