 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2   RMSE1   RMSE2     E.TIME1     E.TIME2	FLIPS
       0     94.9051     94.9051      2.90502      2.90502      28 28.0262     10.9216     10.9216	0
       1     87.9388     87.9388      3.04492      3.04492      28 28.0012      12.536      12.536	916
       2     80.4276     80.4276       3.2385       3.2385      28 28.3266     13.4474     13.4474	1550
       3     78.1171     78.1171      3.39801      3.39801      28 28.6854     14.0345     14.0345	1942
       4     77.7174     77.7174      3.54937      3.54937      28 28.7075     14.8453     14.8453	2206
       5     77.7174     77.7174      3.67899      3.67899      28 28.5463     14.6216     14.6216	2407
       6     77.7174     77.7174      3.77999      3.77999      28 28.5251     14.5089     14.5089	2549
       7     77.7174     77.7174      3.85757      3.85757      28 28.5418     14.7839     14.7839	2682
       8     77.7174     77.7174      3.90905      3.90905      28  28.602     14.8897     14.8897	2770
       9     77.7174     77.7174      3.96128      3.96128      28  28.774     14.9679     14.9679	2837
      10     77.7174     77.7174      4.02469      4.02469      28 28.7913     14.9581     14.9581	2894
      11     77.7174     77.7174      4.08426      4.08426      28 28.8354     15.6925     15.6925	2939
      12     77.7174     77.7174      4.13128      4.13128      28  28.836     15.7017     15.7017	2994
      13     77.7174     77.7174      4.15846      4.15846      28 28.8364     15.7393     15.7393	3025
      14     77.7174     77.7174      4.19301      4.19301      28 28.8479      15.965      15.965	3062
      15     77.7174     77.7174      4.21877      4.21877      28 28.8188     15.3019     15.3019	3089
      16     77.7174     77.7174      4.25884      4.25884      28 28.8136     15.2251     15.2251	3121
      17     77.7174     77.7174      4.29788      4.29788      28  28.815     15.8635     15.8635	3170
      18     77.7174     77.7174       4.3213       4.3213      28 28.8125     15.9843     15.9843	3182
      19     77.7174     77.7174       4.3462       4.3462      28 28.9268     15.5107     15.5107	3213
      20     77.7174     77.7174      4.37002      4.37002      28 28.9298     15.4075     15.4075	3236
