 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2  ORDER1  ORDER2     E.TIME1     E.TIME2
       0      10.705      10.705   3.1321e+06   3.1321e+06       0       0    0.412036    0.381734
       1      10.705      10.705   3.1321e+06   3.1321e+06       0       0     0.38544    0.381881
       2      10.705      10.705   3.1321e+06   3.1321e+06       0       0    0.382306    0.385475
       3      10.705      10.705   3.1321e+06   3.1321e+06       0       0    0.383956    0.391884
       4      10.705      10.705   3.1321e+06   3.1321e+06       0       0    0.382021    0.389372
       5      10.705      10.705   3.1321e+06   3.1321e+06       0       0    0.386389    0.392038
       6      10.705      10.705   3.1321e+06   3.1321e+06       0       0    0.382315    0.386369
       7      10.705      10.705  3.13217e+06  3.13217e+06       7       7    0.382356      1.2188
       8      10.705      10.705  3.13217e+06  3.13217e+06       7       7    0.385471     1.25116
       9      10.705      10.705  3.13217e+06  3.13217e+06       7       7    0.403651     1.22435
      10      10.705      10.705  3.13114e+06  3.13114e+06      10      10    0.383539     1.26957
