 K-ORDER        ABN1        ABN2    AVG.ASPR1    AVG.ASPR2   Order   RMSE1     E.TIME1     E.TIME2
       0     175.449     175.449      8.77484      8.77484       0 32.5169     36.9669     36.9669
       1     175.449     175.449      8.88047      8.88047       1 32.5502     46.5907     46.5907
       2     175.449     175.449      9.20304      9.20304       2 32.5061      50.285      50.285
       3     175.449     175.449      9.35619      9.35619       3 32.5109     51.2737     51.2737
       4     175.449     175.449      9.55806      9.55806       4 32.4886     49.2695     49.2695
       5     171.404     171.404      9.82295      9.82295       5  32.514     50.7598     50.7598
       6     175.449     175.449      9.90075      9.90075       6  32.533     50.4753     50.4753
       7     171.468     171.468      10.0329      10.0329       7 32.5621     50.4303     50.4303
       8     171.468     171.468      10.0986      10.0986       8 32.5791     50.5161     50.5161
       9     171.468     171.468      10.1797      10.1797       9 32.5742     52.5341     52.5341
      10     173.726     173.726      10.2685      10.2685      10  32.588     51.7058     51.7058
      11     173.726     173.726      10.3148      10.3148      11 32.5884     51.1316     51.1316
      12     173.726     173.726      10.4067      10.4067      12 32.5955     51.1607     51.1607
      13     173.726     173.726      10.5291      10.5291      13 32.6458     51.8547     51.8547
      14     173.726     173.726      10.6078      10.6078      14  32.625      51.668      51.668
      15     173.726     173.726      10.6771      10.6771      15 32.6312      50.879      50.879
      16     173.726     173.726      10.7309      10.7309      16 32.6282     51.9533     51.9533
      17     173.726     173.726       10.797       10.797      17 32.6255     51.6055     51.6055
      18     173.726     173.726      10.9358      10.9358      18 32.6217     52.8274     52.8274
      19     173.726     173.726      11.0154      11.0154      19 32.6466     54.7759     54.7759
      20     167.229     167.229      11.0484      11.0484      20 32.6415     52.4388     52.4388
